alpha,class,redshift
236.802296646465,GALAXY,0.4925865
338.660179708044,GALAXY,0.6866302
332.76132176101,GALAXY,0.2032944
124.231583725633,GALAXY,0.08687948
338.518632040421,GALAXY,0.7347449
357.151519310265,GALAXY,0.512866
121.181247403482,GALAXY,0.3249989
136.50169227455,GALAXY,0.564565
131.92776911161,GALAXY,0.6977692
197.529151271646,GALAXY,0.521283
153.447648737855,GALAXY,0.3701703
160.056572865724,GALAXY,0.02476665
191.974315354491,GALAXY,0.4799453
173.319549108134,GALAXY,0.3306466
2.17025243899116,GALAXY,0.4689722
348.335814703174,GALAXY,0.6862542
44.3740887871866,GALAXY,0.524215
20.7826052587098,GALAXY,0.5170577
150.880031140543,GALAXY,0.6578612
132.820858276071,GALAXY,0.7165546
140.550326806812,GALAXY,0.2340868
145.198313004042,GALAXY,0.8152969
141.948951071529,GALAXY,0.625698
140.679263572375,GALAXY,0.2301247
239.331945351186,GALAXY,0.07876735
8.34887899751573,GALAXY,0.5262727
22.7468411549056,GALAXY,0.3322576
204.005516103333,GALAXY,0.1754265
9.9131953773603,GALAXY,0.6868312
333.110113556786,GALAXY,0.912237
253.521743938622,GALAXY,0.3766502
332.496561826757,GALAXY,0.5577476
27.9236363998817,GALAXY,0.4870702
129.669106046254,GALAXY,0.6659987
335.546739232028,GALAXY,0.6919469
335.508182106642,GALAXY,0.7572532
1.73127597414486,GALAXY,0.3878387
339.609445684518,GALAXY,0.1645852
333.354084626185,GALAXY,0.09479433
348.949156625386,GALAXY,0.5762115
155.382532176394,GALAXY,0.03836939
233.547039421357,GALAXY,0.3526742
218.494359527559,GALAXY,0.5233803
219.40433442647,GALAXY,0.378709
8.49782497454447,GALAXY,0.4870008
12.2791158521996,GALAXY,0.4779218
40.1255063822218,GALAXY,0.9313549
173.984510573211,GALAXY,0.3390239
171.711826319704,GALAXY,0.04427182
146.439281961542,GALAXY,0.6780099
154.999257146548,GALAXY,0.1045373
129.577716506723,GALAXY,0.4664853
135.688548624923,GALAXY,0.049568
216.738614869314,GALAXY,0.3630285
222.879538977544,GALAXY,0.1833921
6.2918040134191,GALAXY,0.5043948
244.904320051815,GALAXY,0.3778846
338.792718554591,GALAXY,0.6592138
344.173119052227,GALAXY,0.63022
344.736394530271,GALAXY,0.5368775
345.41776584805,GALAXY,0.5405381
338.767071690277,GALAXY,0.695454
137.296937833859,GALAXY,0.680968
116.562614034198,GALAXY,0.1463097
136.723097829636,GALAXY,0.119708
119.12557702719,GALAXY,0.6291084
6.92376243049418,GALAXY,0.6554138
7.42232037576863,GALAXY,0.3134138
336.90007420688,GALAXY,0.5490854
1.45048956671434,GALAXY,0.1133807
0.897616927134976,GALAXY,0.6165675
346.538525268156,GALAXY,0.4907817
347.329738418005,GALAXY,0.4816059
184.931500364967,GALAXY,0.1373082
198.663348272165,GALAXY,0.5038501
336.845899113747,GALAXY,0.2128639
330.930416169135,GALAXY,0.5991167
331.081819113914,GALAXY,0.3423518
22.8281955769751,GALAXY,0.2151138
316.825682027616,GALAXY,0.6264167
40.4976776739913,GALAXY,0.5301569
160.724470900332,GALAXY,0.8744593
6.12530128650044,GALAXY,0.5021392
253.903287996382,GALAXY,0.6598983
136.129033033719,GALAXY,0.3264136
341.796224449798,GALAXY,0.4833596
