alpha,delta,class,redshift
136.129033033719,32.7693805123125,GALAXY,0.3264136
341.796224449798,20.7568846359919,GALAXY,0.4833596
242.895108002745,26.354130053867,GALAXY,0.07519736
254.317485612619,18.4526309164431,GALAXY,0.03282385
238.189964112489,29.1772037571312,GALAXY,0.141691
241.459046802776,27.2453305156265,GALAXY,0.04541309
244.772904669067,25.2051865221705,GALAXY,0.1109725
12.2725745472949,-8.26055809287959,GALAXY,0.1137839
338.580228620831,20.2166491214243,GALAXY,0.6489189
327.784079376073,9.45856497428206,GALAXY,0.573716
5.24539636970928,12.0497863239473,GALAXY,0.6742269
338.147580291086,-0.243602103948394,GALAXY,0.2086649
235.215943448821,30.7787645083235,GALAXY,0.4861198
251.064753518547,20.7960396062203,GALAXY,0.0323952
232.58694235976,32.1732123057659,GALAXY,0.09138044
229.283027316902,33.5207433262576,GALAXY,0.1115472
132.367728546752,40.8411078819137,GALAXY,0.6480679
343.638488130275,23.7716557991368,GALAXY,0.5773105
139.420928955086,44.9558752910433,GALAXY,0.5249239
127.591036727881,37.4745340893793,GALAXY,0.4159483
211.937423151115,48.8443496501141,GALAXY,0.6988617
165.924445239322,32.3398013608209,GALAXY,0.3395573
133.11041739592,16.1234468262907,GALAXY,0.2184408
40.2911141770661,3.58641110858978,GALAXY,0.7652147
24.9526256186107,2.37893503570023,GALAXY,0.7244605
217.76775792495,3.64349783838672,GALAXY,0.494602
4.61765705181978,15.3865012387841,GALAXY,0.4731573
177.892986010463,54.1763489198994,GALAXY,0.05188603
162.611684301938,52.223267139106,GALAXY,0.06552584
218.562203113502,25.4253977971642,GALAXY,0.09375799
43.6725823129473,3.11898400307414,GALAXY,0.3205462
144.839434791066,31.1962458935922,GALAXY,0.9159158
145.155278904713,31.2645419550823,GALAXY,0.7528014
130.327756550217,29.4896749380939,GALAXY,0.0838319
26.4328291126029,11.0381164821332,GALAXY,0.3265843
340.769739039831,20.6063741232005,GALAXY,0.3267915
242.165462850324,26.8289087258006,GALAXY,0.127938
346.65007552849,21.4194227616864,GALAXY,0.2091066
118.162072117068,29.2822990566651,GALAXY,0.5847304
332.323011511976,21.7054412479639,GALAXY,0.6350492
